Human;Mouse;Zebrafish;Drosophila;C.elegans;Ciliate;Yeast;Methanocaldococcus;Thermococcus;E.coli;Tuberculosis
1.09e-67 ;7.60e-68; 1.13e-68 ;8.02e-68 ;6.15e-68 ; 1.96e-45 ;1.08e-52 ;8.22e-05;3.31e-05;1.300;0.069 
2.19e-96;1.54e-96;1.77e-95 ;9.39e-96 ;4.46e-94 ;8.41e-86 ;3.31e-87 ;0.034 ;0.057 ;0.90 ;4.600
4.26e-109 ; 1.83e-29 ; 4.79e-28 ;1.07e-27;9.69e-30 ;4.53e-23;1.42e-26;0.002; 0.044 ;0.67 ;0.47 
0.0 ;0.0 ;0.0 ;1.23e-43 ;2.71e-45 ;3.44e-46 ;1.07e-45 ;1.300;1.71e-07 ;1.18e-21 ;5.29e-09 
0.0 ;0.0;0.0 ;2.73e-10 ; 0.86 ;4.42e-21 ;0.033 ;1.900; 0.86 ;0.11;1.400
